vectorizer,dimensions,classifier,round,vector_time (s),train_time (s),accuracy,precision,recall,f1
Pt-BR_Word2Vec,1000,lstm,1,1137.5034264000005,953.2291578000004,0.9930261519302616,0.9934491978609625,0.9915932746196957,0.9925203686389743
Pt-BR_Word2Vec,1000,lstm,2,1135.1398578999997,786.2305755999987,0.9920298879202989,0.9915910304324613,0.9913263944488925,0.9914586947817964
Pt-BR_Word2Vec,1000,lstm,3,1134.1651327,862.5778931999994,0.9925280199252802,0.9937064809855383,0.9902588737656792,0.9919796818607138
Pt-BR_Word2Vec,1000,lstm,4,1136.0739648000017,806.2669677000013,0.9929016189290162,0.9939759036144579,0.9907926341072858,0.9923817161186848
Pt-BR_Word2Vec,1000,lstm,5,1132.3832165999993,779.2723115000008,0.9931506849315068,0.9934509489441326,0.991860154790499,0.9926549145299145
Pt-BR_Word2Vec,1000,lstm,6,1135.7903342999998,782.5364691000032,0.9925280199252802,0.9913379530916845,0.992660795302909,0.9919989331910921
Pt-BR_Word2Vec,1000,lstm,7,1144.3898769000007,869.7157423999997,0.9922789539227895,0.9912023460410557,0.992260475046704,0.9917311283008802
Pt-BR_Word2Vec,1000,lstm,8,1135.6507138999987,871.4060168000033,0.9920921544209216,0.9915921526758308,0.9914598345342941,0.9915259891906318
Pt-BR_Word2Vec,1000,lstm,9,1132.2535381000016,903.2145479999999,0.9925280199252802,0.9916,0.9923939151321057,0.9919967987194879
Pt-BR_Word2Vec,50,mixed,0,63.92816089999906,944.9826668999995,0.9909713574097135,0.9899986664888651,0.9906591940218842,0.9903288201160542
Pt-BR_Word2Vec,50,mixed,1,66.54040239999813,936.6287091000013,0.9904109589041096,0.9885516506922257,0.9909260741926875,0.9897374383579902
Pt-BR_Word2Vec,50,mixed,2,68.06513799999811,957.3042620999986,0.990535491905355,0.988945125199787,0.9907926341072858,0.9898680175976536
Pt-BR_Word2Vec,50,mixed,3,66.0686848999976,997.2509424999953,0.9910336239103362,0.9910475681453768,0.9897251134240725,0.9903858993190012
Pt-BR_Word2Vec,50,mixed,4,65.5522639999981,1077.5584655999992,0.9910336239103362,0.9892172523961661,0.9915932746196957,0.9904038384646141
Pt-BR_Word2Vec,50,mixed,5,66.93184190000466,1423.7393258999946,0.9910958904109589,0.9888283016358558,0.9921270349613024,0.9904749217344968
Pt-BR_Word2Vec,50,mixed,6,64.53311160000158,1368.2606100000048,0.9907222914072229,0.9882994282675176,0.991860154790499,0.9900765900765901
Pt-BR_Word2Vec,50,mixed,7,69.48208509999677,1756.4963323999982,0.9903486924034869,0.9893319109214562,0.9899919935948759,0.9896618421930236
Pt-BR_Word2Vec,50,mixed,8,66.45964910000475,1572.4689313999988,0.9905977584059776,0.9902523701428763,0.9895916733386709,0.9899219114996997
Pt-BR_Word2Vec,50,mixed,9,65.37523130000045,1722.1657261,0.9904109589041096,0.9926174496644296,0.9867894315452362,0.9896948608137046
Pt-BR_Word2Vec,100,mixed,0,123.48263959999895,1463.7648820000031,0.9909713574097135,0.9915719063545151,0.9890579129970644,0.9903133141826441
Pt-BR_Word2Vec,100,mixed,1,125.66121720000228,1775.829957599999,0.9921544209215442,0.9939662107803701,0.989191353082466,0.9915730337078652
Pt-BR_Word2Vec,100,mixed,2,126.99561249999533,1736.2767951999995,0.9924657534246575,0.9938379102478232,0.9899919935948759,0.9919112240123004
Pt-BR_Word2Vec,100,mixed,3,126.3685375999994,1719.0114306000032,0.9919053549190535,0.9902796271637816,0.9923939151321057,0.9913356438283124
Pt-BR_Word2Vec,100,mixed,4,127.36490639999829,1945.9932994000046,0.9922166874221668,0.9933056634087561,0.9899919935948759,0.991646060282029
Pt-BR_Word2Vec,100,mixed,5,127.34820369999943,1772.4835236,0.9923412204234122,0.9930434782608696,0.9905257539364826,0.9917830182376913
Pt-BR_Word2Vec,100,mixed,6,133.66553589999967,1980.8881684999942,0.9917808219178083,0.9940939597315436,0.9882572724846543,0.991167023554604
Pt-BR_Word2Vec,100,mixed,7,125.75764279999566,1241.5891752000025,0.9923412204234122,0.9915966386554622,0.9919935948759008,0.9917950770462277
Pt-BR_Word2Vec,100,mixed,8,128.96425179999642,1414.841272699996,0.9920298879202989,0.9925113666755817,0.9903923138510808,0.9914507079882448
Pt-BR_Word2Vec,100,mixed,9,126.60100579999562,1504.41723549999,0.9919676214196762,0.9922470257986901,0.9905257539364826,0.9913856427378965
Pt-BR_Word2Vec,300,mixed,0,355.7334339999943,1585.2726696000027,0.9925902864259029,0.9943692183938866,0.9897251134240725,0.9920417307563699
Pt-BR_Word2Vec,300,mixed,1,349.5565413000004,1585.455514100002,0.9924034869240349,0.9919914575547251,0.9917267147050974,0.9918590684638997
Pt-BR_Word2Vec,300,mixed,2,355.78655509999953,1583.739300500005,0.9925280199252802,0.9941034575180917,0.9898585535094743,0.9919764642952662
Pt-BR_Word2Vec,300,mixed,3,346.74155019999307,1396.8942569999926,0.9919676214196762,0.9930378899451064,0.9897251134240725,0.9913787342110539
